"PHIE","logk","VOL_WETCLAY","SWE","rocktype"
0.348141,3.8364,0.051331,0.0748,1
0.350544,3.8795,0.046402,0.0619,1
0.35664,4.0243,0.02817,0.0558,1
0.360179,4.1981,0.008426,0.0558,1
0.352069,4.0057,0.024056,0.0488,1
0.348776,3.9811,0.023061,0.0467,1
0.337106,3.8206,0.032102,0.0534,1
0.323337,3.6228,0.046038,0.0512,1
0.317133,3.5668,0.045031,0.0513,1
0.323299,3.6892,0.031912,0.0673,1
0.333391,3.8803,0.016373,0.063,1
0.336295,3.8921,0.018631,0.047,1
0.328611,3.6654,0.047978,0.0451,1
0.325633,3.6084,0.054898,0.0558,1
0.319887,3.5213,0.063104,0.1499,1
0.329796,3.7995,0.023391,0.2069,1
0.324864,3.7296,0.027227,0.1313,1
0.315522,3.5614,0.042698,0.0599,1
0.305444,3.3676,0.066213,0.0491,1
0.311627,3.4877,0.050927,0.0533,1
0.317019,3.5885,0.039972,0.0536,1
0.320235,3.6493,0.033879,0.045,1
0.323835,3.6841,0.033911,0.0444,1
0.331046,3.7446,0.035702,0.0514,1
0.35363,4.0473,0.019729,0.0362,5
0.36189,4.1292,0.018861,0.0366,5
0.369669,4.1763,0.022539,0.0371,5
0.382299,4.3657,0.011934,0.0404,5
0.383917,4.4035,0.009346,0.0346,5
0.372704,4.2137,0.020967,0.0353,5
0.357981,3.9883,0.03759,0.0347,5
0.352377,3.9338,0.038156,0.0328,5
0.356535,4.0406,0.025147,0.0325,3
0.355284,4.0825,0.016843,0.0352,5
0.347303,4.0207,0.015157,0.0351,3
0.339299,3.9195,0.018784,0.0387,3
0.334371,3.781,0.034775,0.04,3
0.338969,3.8481,0.030221,0.035,3
0.341911,3.9137,0.023546,0.0366,3
0.342007,3.9759,0.014504,0.0376,3
0.33678,3.8942,0.018999,0.0388,3
0.330611,3.7798,0.028148,0.0392,3
0.329013,3.7305,0.034615,0.0347,3
0.329923,3.7265,0.037224,0.0333,3
0.338811,3.8943,0.021957,0.0424,3
0.337912,3.8699,0.024552,0.0515,3
0.33461,3.8341,0.025318,0.0415,3
0.327057,3.7008,0.036831,0.0365,3
0.329514,3.7614,0.029595,0.0378,3
0.33236,3.7765,0.031874,0.0386,3
0.340902,3.9079,0.022951,0.0401,3
0.343163,3.9598,0.018223,0.0499,3
0.34519,3.9951,0.015932,0.0555,3
0.340331,3.8453,0.033219,0.0477,3
0.338329,3.7538,0.049005,0.0445,5
0.34283,3.8296,0.041389,0.0565,5
0.341494,3.8557,0.033338,0.0685,5
0.339108,3.8424,0.031552,0.0688,5
0.336493,3.7888,0.037307,0.0627,5
0.338613,3.7817,0.04318,0.0411,5
0.343179,3.8699,0.033679,0.0412,5
0.345527,3.9688,0.020192,0.0462,5
0.343148,3.9364,0.021754,0.0533,1
0.341544,3.904,0.024595,0.0513,1
0.339702,3.857,0.029854,0.047,1
0.333621,3.663,0.060593,0.0784,1
0.338409,3.7035,0.061924,0.0731,4
0.353473,3.935,0.040062,0.0584,4
0.355567,3.9582,0.039251,0.0883,4
0.361084,4.0775,0.025983,0.0644,4
0.354061,3.933,0.041706,0.0677,4
0.3513,3.8681,0.050779,0.3687,4
0.239431,2.4764,0.130573,0.4076,4
0.189419,1.7624,0.180545,0.5075,4
0.167625,1.4431,0.196902,0.5578,4
0.147894,1.1239,0.219179,0.6536,4
0.135992,0.9207,0.234151,0.7158,4
0.12919,0.7657,0.262098,0.7184,4
0.14273,0.9922,0.248914,0.6972,5
0.176281,1.5143,0.218421,0.6061,1
0.228595,2.2671,0.166148,0.4017,1
0.276671,2.9159,0.117183,0.1842,1
0.306747,3.2762,0.098298,0.0862,5
0.337548,3.7442,0.049536,0.069,5
0.350044,3.8903,0.042896,0.0553,5
0.360101,4.0363,0.031889,0.0502,5
0.362139,4.026,0.037692,0.0505,5
0.375815,4.3143,0.011175,0.0452,5
0.3737,4.2891,0.011881,0.0419,5
0.37033,4.2522,0.012659,0.0439,5
0.367681,4.2527,0.009854,0.0418,5
0.365011,4.2087,0.012071,0.0385,5
0.361234,4.1338,0.017322,0.0393,5
0.353209,3.9607,0.034241,0.0399,5
0.346579,3.8309,0.049129,0.0387,5
0.350625,3.8812,0.046182,0.0378,5
0.356978,3.9816,0.03706,0.0384,5
0.367375,4.1682,0.020537,0.0374,5
0.373718,4.3041,0.010202,0.0375,5
0.370537,4.2095,0.018626,0.04,5
0.366099,4.1556,0.020685,0.0396,5
0.355383,3.9776,0.034874,0.0384,5
0.35291,3.9706,0.031761,0.0389,4
0.354609,4.0211,0.025432,0.0386,4
0.3614,4.1926,0.010158,0.0371,4
0.360208,4.1991,0.008348,0.0372,4
0.36121,4.2392,0.00559,0.0387,4
0.359265,4.1018,0.019353,0.0408,4
0.357216,3.987,0.036417,0.0457,4
0.358208,3.9934,0.03698,0.0519,4
0.356317,3.945,0.043665,0.0524,4
0.359807,4.0055,0.037517,0.0634,4
0.373488,4.2965,0.010812,0.0515,2
0.373596,4.3001,0.010525,0.0444,2
0.370518,4.2321,0.015429,0.0409,2
0.369519,4.1725,0.022936,0.0402,2
0.374187,4.2213,0.021871,0.0406,2
0.374728,4.225,0.022052,0.0409,2
0.378857,4.3889,0.006429,0.041,2
0.37355,4.2588,0.015522,0.0408,2
0.371586,4.227,0.01747,0.0409,5
0.366007,4.1236,0.025802,0.041,5
0.363387,4.0701,0.031169,0.0391,5
0.368463,4.1656,0.022507,0.0395,5
0.361093,4.0778,0.02596,0.0488,5
0.355413,3.995,0.031514,0.0618,5
0.360281,4.1304,0.01658,0.0487,5
0.361464,4.1658,0.013351,0.0553,5
0.365024,4.2238,0.010366,0.0563,5
0.36005,4.0709,0.025497,0.0402,5
0.354797,3.9644,0.036465,0.0399,5
0.351053,3.9199,0.038499,0.0417,5
0.350391,3.9208,0.037024,0.0399,5
0.35592,4.016,0.028484,0.0401,5
0.357258,4.0491,0.02483,0.0423,5
0.358985,4.1054,0.018448,0.0408,5
0.358706,4.1212,0.015859,0.0396,5
0.35962,4.1489,0.013349,0.0398,5
0.352473,4.0061,0.024622,0.0405,5
0.347783,3.9363,0.029231,0.0404,5
0.345579,3.919,0.028627,0.0415,5
0.346446,3.9311,0.027893,0.0423,5
0.353577,4.082,0.014772,0.0413,5
0.35449,4.0838,0.015646,0.0417,5
0.350228,3.9688,0.02748,0.0419,5
0.345794,3.8973,0.033101,0.0433,5
0.345886,3.8995,0.032846,0.0436,5
0.349183,3.9713,0.025324,0.0433,5
0.349737,3.9756,0.025473,0.0432,5
0.350742,4.0124,0.020973,0.0445,5
0.350071,4.0051,0.021144,0.0426,5
0.342513,3.8302,0.040606,0.0412,5
0.338421,3.785,0.042036,0.0499,5
0.331291,3.6806,0.050496,0.1323,5
0.330566,3.6791,0.049179,0.231,5
0.331874,3.6657,0.055571,0.3019,5
0.33362,3.6821,0.055626,0.3928,5
0.334992,3.7108,0.051744,0.4954,5
0.335071,3.7264,0.048161,0.5467,5
0.343332,3.8822,0.03155,0.5074,5
0.350686,3.9802,0.026209,0.517,5
0.356074,4.07,0.019726,0.5327,5
0.359503,4.1322,0.015356,0.5387,5
0.357988,4.1125,0.016146,0.5601,5
0.356967,4.0723,0.02063,0.5426,5
0.359741,4.1823,0.009633,0.544,5
0.359295,4.1524,0.012555,0.583,5
0.354794,4.0571,0.01989,0.5572,5
0.352441,3.977,0.029729,0.5072,5
0.353509,3.9761,0.031771,0.5491,5
0.358446,4.0408,0.028199,0.5983,5
0.36405,4.2063,0.011336,0.5956,5
0.357898,4.1098,0.016392,0.5347,5
0.357614,4.1719,0.008687,0.5184,5
0.353556,4.1092,0.011398,0.5088,5
0.35111,4.1395,0.006116,0.5164,5
0.342549,3.9,0.026918,0.5594,2
0.34363,3.9498,0.020381,0.5603,2
0.343883,3.9245,0.024853,0.5144,2
